customer_id,age,gender,income_bracket,tenure_months,card_type
C100241,38,F,Affluent,123,Green
C100242,32,F,Affluent,144,Green
C100243,39,M,Mid,68,Green
C100244,33,M,Low,104,Green
C100245,75,F,Affluent,80,Platinum
C100246,39,F,Mid,159,Green
C100247,37,F,Affluent,53,Platinum
C100248,58,M,Affluent,106,Gold
C100249,22,M,High,153,Platinum
C100250,36,F,Mid,44,Gold
C100251,27,F,Mid,140,Platinum
C100252,44,F,High,90,Green
C100253,32,M,Mid,101,Gold
C100254,44,F,Low,97,Green
C100255,43,M,Mid,9,Gold
C100256,46,M,Affluent,12,Gold
C100257,43,F,High,69,Gold
C100258,35,F,Mid,28,Green
C100259,22,F,Low,56,Green
C100260,49,F,Mid,99,Gold
C100261,53,F,Affluent,110,Gold
C100262,27,F,Low,77,Green
C100263,46,F,Mid,103,Platinum
C100264,25,M,High,106,Centurion
C100265,40,F,High,109,Platinum
C100266,42,M,High,112,Platinum
C100267,33,F,High,58,Green
C100268,39,M,Mid,78,Centurion
C100269,47,M,Mid,75,Gold
C100270,36,M,High,42,Green
C100271,30,F,High,166,Platinum
C100272,24,M,High,68,Green
C100273,33,M,Affluent,33,Gold
C100274,25,F,Mid,71,Green
C100275,33,M,Mid,56,Gold
C100276,32,M,High,105,Gold
C100277,46,M,Mid,101,Gold
C100278,38,F,High,51,Green
C100279,66,F,High,74,Gold
C100280,21,F,High,171,Gold
C100281,41,M,Mid,121,Green
C100282,33,M,Mid,143,Platinum
C100283,27,M,Low,166,Gold
C100284,37,F,Mid,143,Platinum
C100285,36,M,Low,5,Green
C100286,49,M,Mid,83,Green
C100287,39,F,Mid,51,Green
C100288,30,M,Mid,10,Gold
C100289,41,M,Mid,140,Green
C100290,35,F,Low,4,Gold
C100291,25,F,Low,95,Green
C100292,35,F,High,146,Green
C100293,40,F,Mid,80,Gold
C100294,38,F,Low,36,Centurion
C100295,41,F,Mid,25,Green
C100296,32,F,High,98,Gold
C100297,41,M,Mid,164,Gold
C100298,39,F,Mid,101,Gold
C100299,39,F,Low,9,Platinum
C100300,38,F,Low,61,Centurion
C100301,61,M,Mid,53,Green
C100302,50,M,Mid,146,Gold
C100303,41,M,Mid,171,Gold
C100304,29,F,High,163,Gold
C100305,34,M,Affluent,63,Green
C100306,55,M,Mid,121,Platinum
C100307,31,F,Mid,105,Platinum
C100308,36,F,High,4,Green
C100309,35,F,Mid,93,Green
C100310,42,F,Mid,169,Platinum
C100311,33,F,Low,173,Green
C100312,39,F,Low,178,Gold
C100313,33,M,Affluent,28,Green
C100314,52,M,High,170,Green
C100315,30,F,High,80,Green
C100316,48,M,Mid,76,Green
C100317,31,F,Low,116,Green
C100318,28,M,Low,69,Gold
C100319,30,M,Mid,98,Gold
C100320,21,M,Mid,1,Green
C100321,42,F,High,167,Gold
C100322,25,M,High,96,Gold
C100323,34,M,Mid,17,Gold
C100324,46,F,Affluent,112,Gold
C100325,46,F,High,91,Gold
C100326,22,M,Mid,88,Centurion
C100327,41,F,Mid,163,Gold
C100328,50,F,Mid,174,Green
C100329,30,M,Mid,170,Gold
C100330,43,F,Mid,167,Green
C100331,25,M,High,90,Green
C100332,42,M,Low,49,Gold
C100333,39,F,Low,38,Platinum
C100334,45,F,Low,151,Green
C100335,44,M,Low,150,Platinum
C100336,23,F,High,132,Green
C100337,39,F,High,177,Green
C100338,53,F,Mid,59,Centurion
C100339,21,F,Low,68,Gold
C100340,48,F,Mid,130,Platinum
C100341,55,M,Mid,49,Platinum
C100342,21,M,Low,126,Platinum
C100343,30,F,Mid,159,Green
C100344,43,F,Mid,111,Green
C100345,28,M,Mid,168,Platinum
C100346,53,M,Mid,48,Gold
C100347,49,F,Low,51,Gold
C100348,22,M,Mid,43,Green
C100349,29,M,Mid,98,Green
C100350,46,M,Mid,177,Gold
C100351,46,M,High,124,Green
C100352,62,M,High,80,Green
C100353,28,M,Low,111,Green
C100354,54,F,Low,143,Green
C100355,27,M,Mid,27,Platinum
C100356,43,F,Low,158,Gold
C100357,47,F,Mid,164,Green
C100358,21,M,Affluent,113,Green
C100359,48,M,Mid,86,Gold
C100360,53,F,Mid,114,Green
C100361,50,M,Mid,124,Platinum
C100362,60,M,Mid,49,Platinum
C100363,48,M,Mid,76,Platinum
C100364,32,M,Affluent,55,Gold
C100365,51,F,Mid,56,Green
C100366,31,F,Affluent,95,Gold
C100367,38,M,Affluent,44,Green
C100368,47,F,Low,159,Green
C100369,42,M,Low,87,Green
C100370,52,F,Low,84,Gold
C100371,65,F,Low,151,Green
C100372,25,F,Low,156,Green
C100373,34,M,High,16,Gold
C100374,41,F,Low,165,Centurion
C100375,32,M,Mid,149,Green
C100376,37,M,High,145,Gold
C100377,46,M,Low,37,Green
C100378,45,F,High,77,Platinum
C100379,40,M,Mid,147,Green
C100380,39,M,Low,158,Platinum
C100381,35,M,High,45,Green
C100382,53,M,Mid,146,Platinum
C100383,56,M,High,62,Green
C100384,49,F,High,164,Green
C100385,25,M,High,100,Green
C100386,35,M,Mid,52,Green
C100387,40,F,Low,19,Platinum
C100388,27,F,High,109,Gold
C100389,38,F,High,44,Gold
C100390,38,F,Affluent,7,Centurion
C100391,49,M,Mid,172,Gold
C100392,32,F,Mid,117,Centurion
C100393,50,M,High,68,Green
C100394,27,F,Mid,34,Platinum
C100395,29,F,Affluent,69,Green
C100396,33,F,High,55,Gold
C100397,38,F,Mid,10,Gold
C100398,21,M,High,42,Gold
C100399,43,M,High,41,Gold
C100400,56,F,Low,122,Green
C100401,45,F,Affluent,138,Centurion
C100402,35,M,Mid,10,Centurion
C100403,26,F,High,102,Centurion
C100404,21,M,Mid,128,Centurion
C100405,21,F,High,179,Platinum
C100406,36,F,Mid,149,Centurion
C100407,61,M,Low,136,Platinum
C100408,21,M,Affluent,92,Gold
C100409,45,M,Low,113,Platinum
C100410,30,F,Mid,78,Platinum
C100411,34,F,Affluent,85,Gold
C100412,27,F,Affluent,30,Gold
C100413,22,F,Mid,49,Green
C100414,39,M,Mid,9,Platinum
C100415,40,M,Mid,145,Centurion
C100416,45,F,Mid,69,Green
C100417,21,F,Mid,58,Green
C100418,47,M,High,62,Green
C100419,47,M,High,52,Gold
C100420,42,M,High,40,Green
C100421,33,F,High,166,Gold
C100422,41,M,Low,171,Centurion
C100423,36,F,Mid,63,Gold
C100424,48,M,Low,147,Green
C100425,33,M,Mid,50,Platinum
C100426,39,M,Mid,161,Gold
C100427,21,F,High,141,Green
C100428,41,M,Mid,78,Gold
C100429,29,M,Low,97,Gold
C100430,43,M,Low,43,Platinum
C100431,46,F,High,177,Platinum
C100432,31,M,Mid,36,Green
C100433,38,F,Low,122,Green
C100434,39,M,Low,108,Green
C100435,42,F,High,10,Gold
C100436,46,F,Low,95,Platinum
C100437,45,M,High,6,Gold
C100438,33,F,High,57,Green
C100439,55,M,Low,129,Centurion
C100440,46,F,Low,71,Platinum
C100441,53,M,Affluent,21,Green
C100442,41,M,Mid,92,Platinum
C100443,42,M,Mid,127,Gold
C100444,36,M,High,80,Green
C100445,33,M,Affluent,56,Green
C100446,48,F,Affluent,116,Green
C100447,40,M,High,148,Green
C100448,36,F,Mid,25,Gold
C100449,26,F,Low,156,Green
C100450,55,F,High,5,Green
C100451,39,F,Mid,120,Gold
C100452,24,M,Mid,21,Green
C100453,38,M,Affluent,18,Gold
C100454,35,M,Low,175,Gold
C100455,35,F,Mid,57,Gold
C100456,44,F,Low,93,Centurion
C100457,35,F,Mid,19,Green
C100458,34,F,Low,128,Gold
C100459,52,F,Low,97,Green
C100460,21,F,Low,131,Platinum
C100461,37,F,Mid,170,Platinum
C100462,48,F,High,21,Green
C100463,44,F,Mid,40,Gold
C100464,49,F,Affluent,67,Green
C100465,60,F,Mid,153,Centurion
C100466,56,F,Mid,127,Green
C100467,25,M,High,55,Platinum
C100468,21,F,Mid,180,Green
C100469,41,F,Affluent,172,Gold
C100470,23,M,Low,109,Centurion
C100471,21,M,Affluent,98,Platinum
C100472,41,F,Low,112,Green
C100473,44,F,High,115,Gold
C100474,56,M,Mid,117,Green
C100475,46,M,Affluent,87,Gold
C100476,59,F,Low,81,Green
C100477,41,M,Mid,66,Green
C100478,25,M,Affluent,19,Gold
C100479,47,F,Mid,135,Green
C100480,52,F,Mid,118,Gold
C100481,42,F,High,42,Green
C100482,53,M,Mid,42,Green
C100483,36,M,Mid,59,Gold
C100484,44,M,Mid,20,Green
C100485,36,M,Affluent,73,Green
C100486,64,M,Low,17,Gold
C100487,47,F,Mid,27,Gold
C100488,25,M,Affluent,175,Gold
C100489,58,F,High,2,Green
C100490,29,M,Mid,63,Green
C100491,38,F,Mid,62,Platinum
C100492,43,F,Mid,100,Centurion
C100493,44,M,Low,19,Green
C100494,43,M,Mid,17,Gold
C100495,25,F,Mid,69,Green
C100496,43,F,Mid,167,Green
C100497,50,F,Low,117,Green
C100498,49,M,Affluent,81,Gold
C100499,23,F,Affluent,39,Green
C100500,30,F,High,36,Platinum
C100501,26,M,Mid,168,Gold
C100502,41,F,Mid,173,Green
C100503,21,F,High,132,Platinum
C100504,25,F,High,153,Green
C100505,30,F,Low,158,Gold
C100506,21,F,Affluent,29,Green
C100507,37,M,High,51,Green
C100508,21,M,Affluent,152,Green
C100509,43,F,High,14,Green
C100510,33,F,Mid,69,Green
C100511,31,F,Mid,146,Green
C100512,32,M,Affluent,170,Centurion
C100513,37,M,High,57,Green
C100514,44,F,Low,12,Green
C100515,52,F,Low,17,Centurion
C100516,49,M,Mid,30,Gold
C100517,62,F,High,88,Gold
C100518,45,M,Affluent,99,Green
C100519,39,M,Low,23,Gold
C100520,32,F,Mid,129,Green
C100521,33,M,Mid,79,Gold
C100522,43,F,Affluent,32,Centurion
C100523,27,M,High,9,Gold
C100524,40,M,High,15,Green
C100525,37,F,Mid,156,Gold
C100526,29,F,Mid,152,Gold
C100527,26,M,Mid,163,Gold
C100528,65,M,Low,27,Gold
C100529,22,F,High,109,Gold
C100530,37,M,High,76,Gold
C100531,51,F,Affluent,148,Centurion
C100532,43,M,Affluent,65,Platinum
C100533,32,F,Mid,177,Green
C100534,24,M,High,109,Gold
C100535,39,F,Affluent,129,Green
C100536,21,F,High,10,Platinum
C100537,39,M,Mid,47,Green
C100538,38,F,Mid,123,Gold
C100539,49,M,Low,59,Platinum
C100540,25,M,Affluent,96,Green
C100541,34,M,Mid,103,Platinum
C100542,42,F,Mid,124,Gold
C100543,40,M,High,86,Green
C100544,23,F,Mid,146,Gold
C100545,30,F,Mid,112,Platinum
C100546,53,M,Low,174,Green
C100547,40,M,High,160,Gold
C100548,21,M,Mid,27,Gold
C100549,47,M,High,18,Platinum
C100550,21,M,Mid,167,Gold
C100551,34,F,High,177,Gold
C100552,44,F,Mid,82,Platinum
C100553,51,M,Mid,172,Platinum
C100554,21,F,High,72,Gold
C100555,45,M,Mid,54,Green
C100556,47,F,Low,162,Green
C100557,31,F,Low,71,Gold
C100558,38,M,High,164,Gold
C100559,21,F,Mid,146,Green
C100560,21,F,High,38,Green
C100561,50,F,Mid,137,Gold
C100562,32,M,Low,179,Green
C100563,34,M,Low,35,Green
C100564,40,M,Mid,82,Green
C100565,33,M,Mid,133,Platinum
C100566,32,F,Mid,142,Gold
C100567,42,M,Mid,158,Green
C100568,21,F,Affluent,4,Green
C100569,50,M,Mid,167,Gold
C100570,35,M,Mid,153,Platinum
C100571,26,F,High,156,Gold
C100572,25,M,Mid,150,Green
C100573,38,F,Mid,159,Gold
C100574,34,M,High,23,Platinum
C100575,21,M,Affluent,48,Green
C100576,31,M,Low,148,Gold
C100577,29,M,Affluent,125,Green
C100578,51,F,Mid,166,Green
C100579,39,M,Mid,55,Green
C100580,55,F,Mid,68,Gold
C100581,30,M,Affluent,88,Green
C100582,34,F,Mid,1,Green
C100583,42,M,Mid,135,Green
C100584,44,F,Mid,95,Green
C100585,45,F,Mid,140,Gold
C100586,28,F,Low,106,Green
C100587,28,F,Low,133,Green
C100588,34,M,Low,108,Platinum
C100589,54,F,Low,178,Gold
C100590,26,F,Low,42,Gold
C100591,32,M,Mid,102,Green
C100592,46,F,Low,124,Gold
C100593,45,F,Mid,140,Green
C100594,44,F,High,103,Green
C100595,38,F,Mid,146,Gold
C100596,26,F,High,74,Platinum
C100597,30,F,Low,108,Gold
C100598,50,M,Low,122,Green
C100599,46,M,Low,17,Platinum
C100600,23,M,Low,71,Green
C100601,47,M,Mid,62,Platinum
C100602,52,M,Low,41,Green
C100603,38,F,Low,119,Green
C100604,42,M,Low,162,Gold
C100605,49,F,Mid,45,Centurion
C100606,30,F,Mid,58,Platinum
C100607,63,F,Mid,179,Gold
C100608,51,M,Mid,126,Gold
C100609,43,M,High,162,Gold
C100610,37,M,Low,44,Gold
C100611,43,M,High,15,Platinum
C100612,21,F,Mid,78,Green
C100613,60,F,Low,70,Green
C100614,50,F,High,178,Centurion
C100615,54,M,Affluent,101,Platinum
C100616,38,M,Low,160,Green
C100617,34,F,Mid,3,Green
C100618,30,M,High,86,Centurion
C100619,46,F,High,74,Gold
C100620,32,F,Low,51,Gold
C100621,35,M,Mid,67,Green
C100622,44,F,Mid,76,Platinum
C100623,30,F,Mid,93,Green
C100624,49,F,Mid,176,Green
C100625,37,M,Mid,145,Green
C100626,21,F,Mid,7,Platinum
C100627,30,M,High,13,Gold
C100628,52,M,Low,120,Platinum
C100629,27,M,Mid,66,Green
C100630,47,M,High,4,Platinum
C100631,39,M,High,138,Platinum
C100632,36,M,Mid,88,Platinum
C100633,65,M,Mid,17,Centurion
C100634,23,M,Low,52,Green
C100635,29,F,Mid,134,Gold
C100636,37,M,Mid,69,Platinum
C100637,64,F,Mid,137,Platinum
C100638,37,F,Mid,21,Gold
C100639,41,M,Mid,24,Green
C100640,34,M,Low,4,Gold
C100641,41,M,Mid,152,Gold
C100642,34,F,Mid,3,Green
C100643,45,F,Mid,68,Platinum
C100644,46,F,Low,101,Green
C100645,35,M,High,168,Green
C100646,25,F,Mid,176,Gold
C100647,39,M,High,54,Gold
C100648,53,F,High,35,Green
C100649,28,M,Mid,56,Green
C100650,41,F,Low,108,Green
C100651,24,F,Mid,40,Green
C100652,26,F,Mid,68,Green
C100653,52,M,High,46,Green
C100654,45,F,Mid,78,Green
C100655,41,M,Low,141,Gold
C100656,21,F,Mid,155,Platinum
C100657,31,F,Mid,6,Gold
C100658,44,M,Mid,17,Gold
C100659,22,F,Mid,164,Green
C100660,34,M,Mid,99,Platinum
C100661,46,M,Affluent,81,Gold
C100662,21,M,Mid,2,Gold
C100663,21,F,Mid,77,Green
C100664,21,F,Low,180,Green
C100665,41,F,Low,66,Gold
C100666,31,M,Mid,52,Gold
C100667,47,F,Low,92,Platinum
C100668,39,M,Low,171,Green
C100669,58,F,Mid,22,Green
C100670,24,M,Low,111,Gold
C100671,41,F,High,107,Platinum
C100672,29,M,Low,67,Green
C100673,44,F,Mid,140,Gold
C100674,39,F,Mid,69,Green
C100675,27,F,Affluent,84,Gold
C100676,36,M,Low,103,Platinum
C100677,38,M,Mid,39,Platinum
C100678,31,M,Affluent,13,Green
C100679,45,M,High,41,Green
C100680,26,F,High,57,Gold
C100681,61,M,Mid,12,Green
C100682,48,M,Low,13,Gold
C100683,41,M,High,120,Gold
C100684,69,F,Affluent,97,Green
C100685,34,M,Mid,57,Platinum
C100686,44,F,Mid,40,Green
C100687,40,M,Mid,118,Centurion
C100688,46,F,High,80,Platinum
C100689,54,F,Low,128,Gold
C100690,44,M,Mid,173,Green
C100691,49,F,Mid,35,Platinum
C100692,31,M,Mid,3,Platinum
C100693,35,F,Mid,120,Green
C100694,56,F,Low,5,Green
C100695,44,M,Mid,11,Green
C100696,40,F,Mid,126,Centurion
C100697,29,F,Mid,71,Platinum
C100698,48,F,Low,117,Platinum
C100699,29,M,Mid,138,Platinum
C100700,26,M,Mid,106,Gold
C100701,39,M,Low,116,Green
C100702,21,F,Mid,162,Green
C100703,44,F,Low,67,Green
C100704,42,M,Low,31,Gold
C100705,34,M,Affluent,75,Platinum
C100706,35,F,Mid,71,Centurion
C100707,36,F,High,66,Green
C100708,29,F,Mid,70,Gold
C100709,40,M,High,41,Gold
C100710,35,M,High,160,Gold
C100711,39,M,Mid,20,Gold
C100712,36,M,Mid,178,Green
C100713,34,F,Mid,153,Platinum
C100714,41,F,Mid,140,Gold
C100715,46,F,Affluent,39,Platinum
C100716,32,M,High,145,Green
C100717,42,F,Affluent,45,Green
C100718,43,F,Low,139,Green
C100719,23,M,High,70,Platinum
C100720,48,M,Affluent,125,Platinum
C100721,60,F,Low,151,Gold
C100722,37,F,Low,91,Platinum
C100723,36,M,High,70,Gold
C100724,35,F,Mid,166,Green
C100725,44,F,High,130,Gold
C100726,43,F,Low,84,Platinum
C100727,21,F,High,89,Green
C100728,28,M,Mid,79,Green
C100729,43,F,Low,113,Gold
C100730,36,F,Low,93,Green
C100731,25,F,High,72,Platinum
C100732,54,M,High,165,Gold
C100733,29,F,Mid,49,Green
C100734,38,M,Mid,52,Green
C100735,36,F,High,33,Centurion
C100736,26,F,Mid,22,Gold
C100737,40,F,High,114,Gold
C100738,42,F,Mid,133,Green
C100739,32,F,Mid,18,Platinum
C100740,34,M,Mid,166,Gold
C100741,44,M,Mid,118,Gold
C100742,21,F,High,117,Centurion
C100743,28,F,Mid,37,Green
C100744,40,F,Mid,64,Gold
C100745,32,M,High,138,Green
C100746,32,M,Mid,79,Gold
C100747,47,F,Mid,170,Green
C100748,31,F,Affluent,123,Platinum
C100749,59,F,Mid,176,Green
C100750,21,F,Low,44,Gold
C100751,21,M,Affluent,82,Platinum
C100752,47,F,Mid,87,Centurion
C100753,27,F,Mid,16,Gold
C100754,27,F,Low,54,Gold
C100755,48,M,High,102,Green
C100756,32,M,Mid,163,Green
C100757,48,F,Mid,98,Gold
C100758,31,M,High,156,Green
C100759,41,M,High,2,Green
C100760,32,M,Low,94,Green
C100761,27,F,Mid,141,Gold
C100762,57,M,Mid,169,Gold
C100763,50,F,High,59,Green
C100764,30,F,Low,69,Green
C100765,36,F,Mid,119,Gold
C100766,54,F,High,92,Gold
C100767,27,M,High,45,Gold
C100768,27,M,Mid,148,Platinum
C100769,43,M,High,24,Green
C100770,62,F,Low,91,Green
C100771,38,F,High,94,Green
C100772,49,F,Low,58,Gold
C100773,26,F,Mid,155,Gold
C100774,41,F,High,154,Green
C100775,34,F,Low,128,Gold
C100776,58,F,Mid,7,Gold
C100777,55,M,High,170,Centurion
C100778,63,M,High,47,Gold
C100779,30,F,Mid,53,Gold
C100780,38,F,High,38,Gold
C100781,42,F,Mid,53,Centurion
C100782,30,M,Mid,143,Centurion
C100783,39,M,Mid,154,Gold
C100784,47,M,Low,48,Gold
C100785,31,M,Affluent,95,Gold
C100786,30,F,Mid,147,Gold
C100787,29,M,Mid,137,Gold
C100788,23,F,Mid,64,Green
C100789,47,M,Affluent,93,Platinum
C100790,30,M,Low,125,Gold
C100791,29,M,Mid,179,Platinum
C100792,43,F,Mid,39,Gold
C100793,37,F,Mid,4,Gold
C100794,32,F,Low,126,Green
C100795,46,F,High,3,Gold
C100796,31,F,Affluent,64,Gold
C100797,21,M,Mid,29,Green
C100798,52,M,High,116,Platinum
C100799,28,M,Affluent,11,Green
C100800,30,M,High,97,Gold
C100801,30,M,Low,102,Green
C100802,38,M,Mid,155,Platinum
C100803,34,M,Mid,21,Green
C100804,48,F,Mid,39,Gold
C100805,56,F,High,102,Green
C100806,30,M,Affluent,46,Gold
C100807,27,F,Affluent,66,Platinum
