exposure_id,customer_id,channel_name,channel_type,category,impression_date,clicked,click_date,viewed,view_date,redeemed,redemption_date,redemption_value,cost
E1000022,C103942,Display Ad,Paid,Dining,2025-06-27,0,,0,,0,,0.0,0.008
E1000023,C101800,In-App Banner,Owned,Health & Wellness,2024-05-30,1,2024-05-30,1,2024-05-31,1,2024-06-14,134.97,0.0015
E1000024,C104950,Social Media Ad,Paid,Entertainment,2025-04-15,0,,0,,0,,0.0,0.012
E1000025,C104460,Display Ad,Paid,Grocery,2024-06-18,0,,0,,0,,0.0,0.008
E1000026,C102069,Social Media Ad,Paid,Electronics,2024-09-30,0,,0,,0,,0.0,0.012
E1000027,C104643,Push Notification,Owned,Entertainment,2024-02-25,0,,0,,0,,0.0,0.001
E1000028,C102377,Email,Owned,Retail,2024-10-11,0,,0,,0,,0.0,0.002
E1000029,C102103,Display Ad,Paid,Dining,2025-03-18,0,,0,,0,,0.0,0.008
E1000030,C101271,Social Media Ad,Paid,Dining,2024-12-13,0,,0,,0,,0.0,0.012
E1000031,C104356,Social Media Ad,Paid,Entertainment,2024-11-21,0,,0,,0,,0.0,0.012
E1000032,C103843,Social Media Ad,Paid,Fuel,2024-05-18,0,,0,,0,,0.0,0.012
E1000033,C100434,Display Ad,Paid,Dining,2024-02-22,0,,0,,0,,0.0,0.008
E1000034,C103598,Display Ad,Paid,Grocery,2024-02-09,0,,0,,0,,0.0,0.008
E1000035,C103549,Email,Owned,Travel,2025-06-28,0,,0,,0,,0.0,0.002
E1000036,C103771,Social Media Ad,Paid,Grocery,2025-05-27,0,,0,,0,,0.0,0.012
E1000037,C100534,Social Media Ad,Paid,Dining,2025-01-31,1,2025-01-31,1,2025-02-01,0,,0.0,0.012
E1000038,C100380,Email,Owned,Health & Wellness,2024-03-26,0,,0,,0,,0.0,0.002
E1000039,C102150,Social Media Ad,Paid,Health & Wellness,2024-08-11,0,,0,,0,,0.0,0.012
E1000040,C104124,Email,Owned,Fuel,2025-03-03,0,,0,,0,,0.0,0.002
E1000041,C103925,In-App Banner,Owned,Grocery,2024-01-21,0,,0,,0,,0.0,0.0015
E1000042,C103128,Push Notification,Owned,Health & Wellness,2025-03-28,1,2025-03-28,1,2025-03-28,0,,0.0,0.001
E1000043,C104049,Email,Owned,Dining,2024-01-25,0,,0,,0,,0.0,0.002
E1000044,C100546,Social Media Ad,Paid,Fuel,2025-02-05,0,,0,,0,,0.0,0.012
E1000045,C103616,Push Notification,Owned,Electronics,2025-06-19,0,,0,,0,,0.0,0.001
E1000046,C104422,Social Media Ad,Paid,Travel,2024-12-05,0,,0,,0,,0.0,0.012
E1000047,C101751,Display Ad,Paid,Fuel,2024-05-01,0,,0,,0,,0.0,0.008
E1000048,C104824,SMS,Paid,Electronics,2024-08-10,0,,0,,0,,0.0,0.05
E1000049,C103115,Display Ad,Paid,Fuel,2025-05-27,0,,0,,0,,0.0,0.008
E1000050,C100218,In-App Banner,Owned,Dining,2024-12-20,0,,0,,0,,0.0,0.0015
E1000051,C100125,Push Notification,Owned,Entertainment,2024-11-22,0,,0,,0,,0.0,0.001
E1000052,C104977,Display Ad,Paid,Grocery,2024-04-25,0,,0,,0,,0.0,0.008
E1000053,C104414,Display Ad,Paid,Travel,2025-07-11,0,,0,,0,,0.0,0.008
E1000054,C101328,Email,Owned,Retail,2025-03-01,0,,0,,0,,0.0,0.002
E1000055,C101223,Social Media Ad,Paid,Dining,2025-01-10,0,,0,,0,,0.0,0.012
E1000056,C104180,Social Media Ad,Paid,Travel,2024-08-10,0,,0,,0,,0.0,0.012
E1000057,C102770,Social Media Ad,Paid,Grocery,2025-01-30,0,,0,,0,,0.0,0.012
E1000058,C101574,Social Media Ad,Paid,Health & Wellness,2025-05-30,0,,0,,0,,0.0,0.012
E1000059,C101942,Email,Owned,Dining,2024-07-14,0,,0,,0,,0.0,0.002
E1000060,C103340,Push Notification,Owned,Health & Wellness,2024-03-10,0,,0,,0,,0.0,0.001
E1000061,C104457,Push Notification,Owned,Fuel,2024-12-06,0,,0,,0,,0.0,0.001
E1000062,C102414,In-App Banner,Owned,Health & Wellness,2024-09-20,0,,0,,0,,0.0,0.0015
E1000063,C101254,Push Notification,Owned,Fuel,2024-01-13,0,,0,,0,,0.0,0.001
E1000064,C100987,Push Notification,Owned,Fuel,2025-05-25,0,,0,,0,,0.0,0.001
E1000065,C101848,Push Notification,Owned,Dining,2024-03-20,0,,0,,0,,0.0,0.001
E1000066,C103901,Push Notification,Owned,Fuel,2025-07-10,0,,0,,0,,0.0,0.001
E1000067,C104926,Social Media Ad,Paid,Fuel,2025-05-18,0,,0,,0,,0.0,0.012
E1000068,C103719,Push Notification,Owned,Health & Wellness,2025-03-15,0,,0,,0,,0.0,0.001
E1000069,C101317,Display Ad,Paid,Health & Wellness,2025-06-02,0,,0,,0,,0.0,0.008
E1000070,C101371,Social Media Ad,Paid,Grocery,2025-06-27,0,,0,,0,,0.0,0.012
E1000071,C104971,Display Ad,Paid,Electronics,2025-07-03,0,,0,,0,,0.0,0.008
E1000072,C100360,Social Media Ad,Paid,Electronics,2025-05-16,0,,0,,0,,0.0,0.012
E1000073,C100357,Push Notification,Owned,Health & Wellness,2025-05-26,0,,0,,0,,0.0,0.001
E1000074,C103201,Display Ad,Paid,Health & Wellness,2025-07-13,0,,0,,0,,0.0,0.008
E1000075,C103890,Email,Owned,Health & Wellness,2024-11-16,0,,0,,0,,0.0,0.002
E1000076,C102783,Push Notification,Owned,Travel,2025-03-21,0,,0,,0,,0.0,0.001
E1000077,C100063,In-App Banner,Owned,Grocery,2025-05-13,0,,0,,0,,0.0,0.0015
E1000078,C102228,Social Media Ad,Paid,Electronics,2024-01-28,0,,0,,0,,0.0,0.012
E1000079,C102634,SMS,Paid,Health & Wellness,2025-01-07,1,2025-01-08,1,2025-01-09,0,,0.0,0.05
E1000080,C103849,In-App Banner,Owned,Electronics,2024-09-12,0,,0,,0,,0.0,0.0015
E1000081,C103938,Social Media Ad,Paid,Grocery,2024-11-13,0,,0,,0,,0.0,0.012
E1000082,C101515,Display Ad,Paid,Fuel,2024-09-21,0,,0,,0,,0.0,0.008
E1000083,C100579,Display Ad,Paid,Dining,2024-05-06,0,,0,,0,,0.0,0.008
E1000084,C104417,Push Notification,Owned,Dining,2025-05-10,0,,0,,0,,0.0,0.001
E1000085,C102331,Email,Owned,Entertainment,2025-01-29,0,,0,,0,,0.0,0.002
E1000086,C102413,Social Media Ad,Paid,Grocery,2024-02-18,0,,0,,0,,0.0,0.012
E1000087,C102158,Push Notification,Owned,Travel,2024-12-29,0,,0,,0,,0.0,0.001
E1000088,C102125,Social Media Ad,Paid,Entertainment,2025-07-03,0,,0,,0,,0.0,0.012
E1000089,C103769,Social Media Ad,Paid,Fuel,2025-04-01,0,,0,,0,,0.0,0.012
E1000090,C102283,Push Notification,Owned,Electronics,2024-09-08,0,,0,,0,,0.0,0.001
E1000091,C103766,Social Media Ad,Paid,Electronics,2024-09-20,0,,0,,0,,0.0,0.012
E1000092,C103105,Display Ad,Paid,Travel,2024-02-05,0,,0,,0,,0.0,0.008
E1000093,C103552,Social Media Ad,Paid,Travel,2024-01-12,0,,0,,0,,0.0,0.012
E1000094,C103475,Display Ad,Paid,Grocery,2025-06-14,1,2025-06-14,0,,0,,0.0,0.008
E1000095,C101838,Social Media Ad,Paid,Retail,2025-05-30,0,,0,,0,,0.0,0.012
E1000096,C100221,Display Ad,Paid,Grocery,2024-08-24,0,,0,,0,,0.0,0.008
E1000097,C100895,Display Ad,Paid,Fuel,2025-03-04,0,,0,,0,,0.0,0.008
E1000098,C103411,Social Media Ad,Paid,Entertainment,2024-11-09,0,,0,,0,,0.0,0.012
E1000099,C103008,In-App Banner,Owned,Grocery,2024-04-19,0,,0,,0,,0.0,0.0015
E1000100,C100984,Push Notification,Owned,Grocery,2025-04-15,0,,0,,0,,0.0,0.001
E1000101,C101632,Display Ad,Paid,Fuel,2025-01-19,0,,0,,0,,0.0,0.008
E1000102,C103670,Social Media Ad,Paid,Dining,2025-06-15,0,,0,,0,,0.0,0.012
E1000103,C102890,Social Media Ad,Paid,Retail,2025-04-02,0,,0,,0,,0.0,0.012
E1000104,C102043,Social Media Ad,Paid,Electronics,2025-05-15,0,,0,,0,,0.0,0.012
E1000105,C101408,Social Media Ad,Paid,Fuel,2025-05-22,0,,0,,0,,0.0,0.012
E1000106,C103872,Social Media Ad,Paid,Travel,2025-05-02,0,,0,,0,,0.0,0.012
E1000107,C104677,Social Media Ad,Paid,Travel,2025-03-09,0,,0,,0,,0.0,0.012
E1000108,C101335,Display Ad,Paid,Dining,2025-04-13,0,,0,,0,,0.0,0.008
E1000109,C103637,Push Notification,Owned,Fuel,2025-07-12,0,,0,,0,,0.0,0.001
E1000110,C103458,Display Ad,Paid,Retail,2024-01-30,0,,0,,0,,0.0,0.008
E1000111,C104397,Social Media Ad,Paid,Electronics,2024-05-30,0,,0,,0,,0.0,0.012
E1000112,C103600,Push Notification,Owned,Fuel,2025-01-05,0,,0,,0,,0.0,0.001
E1000113,C104886,In-App Banner,Owned,Fuel,2025-03-25,1,2025-03-25,1,2025-03-26,0,,0.0,0.0015
E1000114,C101375,Display Ad,Paid,Dining,2024-04-11,0,,0,,0,,0.0,0.008
E1000115,C101533,Email,Owned,Health & Wellness,2024-11-30,0,,0,,0,,0.0,0.002
E1000116,C101952,Social Media Ad,Paid,Grocery,2025-01-02,0,,0,,0,,0.0,0.012
E1000117,C103257,Push Notification,Owned,Electronics,2024-11-06,0,,0,,0,,0.0,0.001
E1000118,C102991,Email,Owned,Grocery,2024-11-27,1,2024-11-27,1,2024-11-28,1,2024-11-29,50.85,0.002
E1000119,C104690,Display Ad,Paid,Electronics,2025-04-08,0,,0,,0,,0.0,0.008
E1000120,C103496,Email,Owned,Grocery,2024-03-10,0,,0,,0,,0.0,0.002
E1000121,C104157,Display Ad,Paid,Electronics,2025-02-17,0,,0,,0,,0.0,0.008
E1000122,C103472,Social Media Ad,Paid,Health & Wellness,2024-12-12,0,,0,,0,,0.0,0.012
E1000123,C102917,Email,Owned,Health & Wellness,2025-05-25,0,,0,,0,,0.0,0.002
E1000124,C101165,Social Media Ad,Paid,Entertainment,2025-06-17,0,,0,,0,,0.0,0.012
E1000125,C104561,Social Media Ad,Paid,Electronics,2025-02-14,0,,0,,0,,0.0,0.012
E1000126,C102358,Display Ad,Paid,Travel,2024-08-29,0,,0,,0,,0.0,0.008
E1000127,C103238,Email,Owned,Health & Wellness,2024-05-11,0,,0,,0,,0.0,0.002
E1000128,C104911,Social Media Ad,Paid,Health & Wellness,2024-10-08,0,,0,,0,,0.0,0.012
E1000129,C102150,Social Media Ad,Paid,Dining,2025-07-07,0,,0,,0,,0.0,0.012
E1000130,C102075,Social Media Ad,Paid,Entertainment,2025-02-20,0,,0,,0,,0.0,0.012
E1000131,C103667,Social Media Ad,Paid,Health & Wellness,2024-04-22,0,,0,,0,,0.0,0.012
E1000132,C104603,Display Ad,Paid,Retail,2025-05-02,0,,0,,0,,0.0,0.008
E1000133,C102181,Display Ad,Paid,Travel,2025-02-08,0,,0,,0,,0.0,0.008
E1000134,C100058,Display Ad,Paid,Dining,2024-03-17,0,,0,,0,,0.0,0.008
E1000135,C101958,Display Ad,Paid,Dining,2024-08-03,0,,0,,0,,0.0,0.008
E1000136,C100184,In-App Banner,Owned,Dining,2024-08-18,0,,0,,0,,0.0,0.0015
E1000137,C102619,Social Media Ad,Paid,Retail,2025-06-18,0,,0,,0,,0.0,0.012
E1000138,C101680,Display Ad,Paid,Travel,2024-10-13,0,,0,,0,,0.0,0.008
E1000139,C100577,Display Ad,Paid,Dining,2025-05-05,0,,0,,0,,0.0,0.008
E1000140,C103954,Push Notification,Owned,Health & Wellness,2024-12-10,0,,0,,0,,0.0,0.001
E1000141,C104277,Display Ad,Paid,Electronics,2025-04-18,0,,0,,0,,0.0,0.008
E1000142,C100070,Email,Owned,Retail,2024-10-30,0,,0,,0,,0.0,0.002
E1000143,C100555,Social Media Ad,Paid,Fuel,2024-03-05,0,,0,,0,,0.0,0.012
E1000144,C100851,Social Media Ad,Paid,Electronics,2025-04-16,0,,0,,0,,0.0,0.012
E1000145,C101218,Display Ad,Paid,Travel,2025-02-19,0,,0,,0,,0.0,0.008
E1000146,C103640,Display Ad,Paid,Travel,2024-08-11,0,,0,,0,,0.0,0.008
E1000147,C101912,Display Ad,Paid,Health & Wellness,2024-06-21,0,,0,,0,,0.0,0.008
E1000148,C102730,Display Ad,Paid,Retail,2024-08-03,0,,0,,0,,0.0,0.008
E1000149,C102365,Email,Owned,Fuel,2024-01-05,0,,0,,0,,0.0,0.002
E1000150,C104924,In-App Banner,Owned,Travel,2024-06-12,0,,0,,0,,0.0,0.0015
E1000151,C100266,In-App Banner,Owned,Travel,2024-03-22,0,,0,,0,,0.0,0.0015
E1000152,C103916,Push Notification,Owned,Fuel,2024-12-19,0,,0,,0,,0.0,0.001
E1000153,C104709,Display Ad,Paid,Retail,2024-05-31,0,,0,,0,,0.0,0.008
E1000154,C101400,Social Media Ad,Paid,Electronics,2025-03-24,0,,0,,0,,0.0,0.012
E1000155,C104673,Display Ad,Paid,Electronics,2024-04-15,0,,0,,0,,0.0,0.008
E1000156,C103693,Display Ad,Paid,Fuel,2024-06-30,0,,0,,0,,0.0,0.008
E1000157,C104727,Display Ad,Paid,Entertainment,2024-06-03,0,,0,,0,,0.0,0.008
E1000158,C102326,Display Ad,Paid,Dining,2024-03-23,0,,0,,0,,0.0,0.008
E1000159,C102801,Social Media Ad,Paid,Electronics,2025-03-11,0,,0,,0,,0.0,0.012
E1000160,C102034,Email,Owned,Entertainment,2025-03-31,0,,0,,0,,0.0,0.002
E1000161,C102830,Email,Owned,Health & Wellness,2025-07-03,0,,0,,0,,0.0,0.002
E1000162,C100984,Email,Owned,Grocery,2025-03-25,0,,0,,0,,0.0,0.002
E1000163,C104099,Push Notification,Owned,Health & Wellness,2025-03-03,0,,0,,0,,0.0,0.001
E1000164,C101075,Social Media Ad,Paid,Electronics,2025-07-07,0,,0,,0,,0.0,0.012
E1000165,C101023,Social Media Ad,Paid,Health & Wellness,2025-03-07,0,,0,,0,,0.0,0.012
E1000166,C103897,Push Notification,Owned,Grocery,2025-05-25,0,,0,,0,,0.0,0.001
E1000167,C104874,Display Ad,Paid,Grocery,2024-08-05,0,,0,,0,,0.0,0.008
E1000168,C100279,Display Ad,Paid,Travel,2025-02-19,0,,0,,0,,0.0,0.008
E1000169,C101111,Push Notification,Owned,Dining,2025-06-20,0,,0,,0,,0.0,0.001
E1000170,C101183,In-App Banner,Owned,Fuel,2024-01-13,0,,0,,0,,0.0,0.0015
E1000171,C102075,Email,Owned,Entertainment,2024-06-21,0,,0,,0,,0.0,0.002
E1000172,C103599,Social Media Ad,Paid,Fuel,2024-01-07,0,,0,,0,,0.0,0.012
E1000173,C104905,Display Ad,Paid,Entertainment,2024-01-20,0,,0,,0,,0.0,0.008
E1000174,C103942,Social Media Ad,Paid,Retail,2024-07-31,0,,0,,0,,0.0,0.012
E1000175,C100271,Social Media Ad,Paid,Fuel,2025-01-24,0,,0,,0,,0.0,0.012
E1000176,C101123,Email,Owned,Electronics,2024-01-30,0,,0,,0,,0.0,0.002
E1000177,C103979,Social Media Ad,Paid,Travel,2025-04-08,0,,0,,0,,0.0,0.012
E1000178,C101227,In-App Banner,Owned,Travel,2024-06-26,1,2024-06-27,1,2024-06-28,0,,0.0,0.0015
E1000179,C100189,Display Ad,Paid,Grocery,2024-02-19,0,,0,,0,,0.0,0.008
E1000180,C100545,Email,Owned,Travel,2025-04-07,0,,0,,0,,0.0,0.002
E1000181,C102341,Push Notification,Owned,Retail,2025-02-03,0,,0,,0,,0.0,0.001
E1000182,C103966,Social Media Ad,Paid,Retail,2025-07-10,0,,0,,0,,0.0,0.012
E1000183,C104014,Email,Owned,Retail,2025-02-27,0,,0,,0,,0.0,0.002
E1000184,C104943,Social Media Ad,Paid,Dining,2024-10-30,0,,0,,0,,0.0,0.012
E1000185,C104866,Display Ad,Paid,Travel,2025-05-06,0,,0,,0,,0.0,0.008
E1000186,C100768,Display Ad,Paid,Dining,2024-06-26,0,,0,,0,,0.0,0.008
E1000187,C103775,Display Ad,Paid,Entertainment,2024-01-29,0,,0,,0,,0.0,0.008
E1000188,C102731,Social Media Ad,Paid,Entertainment,2025-03-30,0,,0,,0,,0.0,0.012
E1000189,C101010,Social Media Ad,Paid,Dining,2024-03-09,0,,0,,0,,0.0,0.012
E1000190,C104798,Email,Owned,Health & Wellness,2025-05-20,0,,0,,0,,0.0,0.002
E1000191,C100464,Display Ad,Paid,Health & Wellness,2024-03-26,0,,0,,0,,0.0,0.008
E1000192,C102600,Social Media Ad,Paid,Dining,2024-04-17,0,,0,,0,,0.0,0.012
E1000193,C100916,Email,Owned,Retail,2024-03-04,0,,0,,0,,0.0,0.002
E1000194,C101452,SMS,Paid,Fuel,2025-04-19,1,2025-04-20,0,,0,,0.0,0.05
E1000195,C103468,Email,Owned,Health & Wellness,2024-10-31,0,,0,,0,,0.0,0.002
E1000196,C104289,Display Ad,Paid,Retail,2024-01-09,0,,0,,0,,0.0,0.008
E1000197,C100065,Email,Owned,Grocery,2024-01-23,0,,0,,0,,0.0,0.002
E1000198,C102602,Email,Owned,Electronics,2024-08-20,0,,0,,0,,0.0,0.002
E1000199,C101725,Email,Owned,Fuel,2024-07-19,0,,0,,0,,0.0,0.002
E1000200,C104696,In-App Banner,Owned,Dining,2025-04-13,0,,0,,0,,0.0,0.0015
E1000201,C101499,Email,Owned,Entertainment,2025-02-14,0,,0,,0,,0.0,0.002
E1000202,C101904,Social Media Ad,Paid,Fuel,2024-05-16,0,,0,,0,,0.0,0.012
E1000203,C104571,Social Media Ad,Paid,Dining,2024-04-06,0,,0,,0,,0.0,0.012
E1000204,C103964,Social Media Ad,Paid,Grocery,2024-11-03,0,,0,,0,,0.0,0.012
E1000205,C102809,Display Ad,Paid,Grocery,2025-02-08,0,,0,,0,,0.0,0.008
E1000206,C104090,Push Notification,Owned,Fuel,2024-03-02,0,,0,,0,,0.0,0.001
E1000207,C100886,Email,Owned,Electronics,2024-09-06,0,,0,,0,,0.0,0.002
E1000208,C103808,Email,Owned,Travel,2024-11-19,1,2024-11-19,1,2024-11-19,0,,0.0,0.002
E1000209,C104177,Social Media Ad,Paid,Travel,2024-10-04,0,,0,,0,,0.0,0.012
E1000210,C101960,In-App Banner,Owned,Dining,2025-03-07,0,,0,,0,,0.0,0.0015
E1000211,C102747,In-App Banner,Owned,Travel,2024-09-04,0,,0,,0,,0.0,0.0015
E1000212,C100043,Push Notification,Owned,Travel,2024-09-03,1,2024-09-04,1,2024-09-04,0,,0.0,0.001
E1000213,C103842,Social Media Ad,Paid,Grocery,2024-02-06,0,,0,,0,,0.0,0.012
E1000214,C104705,Display Ad,Paid,Entertainment,2025-04-30,0,,0,,0,,0.0,0.008
E1000215,C101888,Social Media Ad,Paid,Health & Wellness,2025-01-15,0,,0,,0,,0.0,0.012
E1000216,C103898,Display Ad,Paid,Retail,2025-07-09,0,,0,,0,,0.0,0.008
E1000217,C103892,In-App Banner,Owned,Health & Wellness,2024-08-31,0,,0,,0,,0.0,0.0015
E1000218,C100719,Social Media Ad,Paid,Grocery,2025-02-02,0,,0,,0,,0.0,0.012
E1000219,C100690,Push Notification,Owned,Travel,2024-12-30,0,,0,,0,,0.0,0.001
E1000220,C101945,Display Ad,Paid,Health & Wellness,2024-05-26,0,,0,,0,,0.0,0.008
E1000221,C100109,Push Notification,Owned,Electronics,2024-12-18,0,,0,,0,,0.0,0.001
E1000222,C104314,Display Ad,Paid,Entertainment,2024-04-29,0,,0,,0,,0.0,0.008
E1000223,C104558,Push Notification,Owned,Grocery,2025-06-22,0,,0,,0,,0.0,0.001
E1000224,C100514,Social Media Ad,Paid,Grocery,2024-03-24,0,,0,,0,,0.0,0.012
E1000225,C100636,Display Ad,Paid,Dining,2024-01-23,0,,0,,0,,0.0,0.008
E1000226,C103328,Social Media Ad,Paid,Dining,2024-07-03,0,,0,,0,,0.0,0.012
E1000227,C100626,Social Media Ad,Paid,Entertainment,2024-04-15,0,,0,,0,,0.0,0.012
E1000228,C100069,Push Notification,Owned,Electronics,2025-02-10,0,,0,,0,,0.0,0.001
E1000229,C102506,Social Media Ad,Paid,Retail,2024-02-10,0,,0,,0,,0.0,0.012
E1000230,C103889,Social Media Ad,Paid,Entertainment,2025-04-15,0,,0,,0,,0.0,0.012
E1000231,C103799,Social Media Ad,Paid,Fuel,2025-06-18,0,,0,,0,,0.0,0.012
E1000232,C101850,Email,Owned,Travel,2024-06-05,0,,0,,0,,0.0,0.002
E1000233,C104319,Email,Owned,Retail,2024-05-16,0,,0,,0,,0.0,0.002
E1000234,C102878,Display Ad,Paid,Retail,2024-08-26,0,,0,,0,,0.0,0.008
E1000235,C103352,Display Ad,Paid,Travel,2024-06-16,0,,0,,0,,0.0,0.008
E1000236,C103977,Display Ad,Paid,Fuel,2025-05-31,0,,0,,0,,0.0,0.008
E1000237,C101634,Social Media Ad,Paid,Electronics,2024-01-05,0,,0,,0,,0.0,0.012
E1000238,C103476,Display Ad,Paid,Health & Wellness,2024-12-18,0,,0,,0,,0.0,0.008
E1000239,C102543,Email,Owned,Health & Wellness,2025-02-01,0,,0,,0,,0.0,0.002
E1000240,C100768,SMS,Paid,Dining,2025-06-22,0,,0,,0,,0.0,0.05
E1000241,C102603,In-App Banner,Owned,Electronics,2025-01-06,1,2025-01-07,1,2025-01-08,1,2025-01-15,88.97,0.0015
E1000242,C100991,Social Media Ad,Paid,Grocery,2024-02-10,0,,0,,0,,0.0,0.012
E1000243,C101728,In-App Banner,Owned,Health & Wellness,2025-02-09,0,,0,,0,,0.0,0.0015
E1000244,C102028,Push Notification,Owned,Dining,2024-01-05,0,,0,,0,,0.0,0.001
E1000245,C101529,Push Notification,Owned,Entertainment,2024-09-22,0,,0,,0,,0.0,0.001
E1000246,C100488,Email,Owned,Fuel,2025-05-12,0,,0,,0,,0.0,0.002
E1000247,C104152,Display Ad,Paid,Grocery,2024-03-22,0,,0,,0,,0.0,0.008
E1000248,C100511,SMS,Paid,Dining,2024-08-23,0,,0,,0,,0.0,0.05
E1000249,C103319,Social Media Ad,Paid,Health & Wellness,2025-05-13,0,,0,,0,,0.0,0.012
E1000250,C102151,Display Ad,Paid,Dining,2025-03-26,0,,0,,0,,0.0,0.008
E1000251,C102604,Social Media Ad,Paid,Entertainment,2024-01-12,0,,0,,0,,0.0,0.012
E1000252,C102107,Social Media Ad,Paid,Health & Wellness,2024-05-30,0,,0,,0,,0.0,0.012
E1000253,C100734,Social Media Ad,Paid,Fuel,2024-07-27,0,,0,,0,,0.0,0.012
E1000254,C103309,Push Notification,Owned,Entertainment,2024-04-28,0,,0,,0,,0.0,0.001
E1000255,C100370,Social Media Ad,Paid,Grocery,2024-04-06,0,,0,,0,,0.0,0.012
E1000256,C102073,Display Ad,Paid,Electronics,2024-10-07,1,2024-10-08,1,2024-10-09,0,,0.0,0.008
E1000257,C104701,Push Notification,Owned,Entertainment,2024-11-28,0,,0,,0,,0.0,0.001
E1000258,C104205,Push Notification,Owned,Health & Wellness,2024-12-30,0,,0,,0,,0.0,0.001
E1000259,C104868,Social Media Ad,Paid,Grocery,2024-03-10,0,,0,,0,,0.0,0.012
E1000260,C102301,Display Ad,Paid,Dining,2024-07-23,0,,0,,0,,0.0,0.008
E1000261,C101830,Social Media Ad,Paid,Retail,2025-06-14,0,,0,,0,,0.0,0.012
E1000262,C101859,SMS,Paid,Entertainment,2024-04-05,0,,0,,0,,0.0,0.05
E1000263,C100916,Display Ad,Paid,Fuel,2025-04-05,0,,0,,0,,0.0,0.008
E1000264,C103175,Push Notification,Owned,Entertainment,2024-08-09,0,,0,,0,,0.0,0.001
E1000265,C102662,Push Notification,Owned,Electronics,2024-04-15,0,,0,,0,,0.0,0.001
E1000266,C102634,Social Media Ad,Paid,Electronics,2024-11-18,0,,0,,0,,0.0,0.012
E1000267,C104692,Push Notification,Owned,Dining,2025-04-09,0,,0,,0,,0.0,0.001
E1000268,C101237,Push Notification,Owned,Dining,2025-06-16,0,,0,,0,,0.0,0.001
E1000269,C102160,Display Ad,Paid,Fuel,2025-05-14,0,,0,,0,,0.0,0.008
E1000270,C101335,In-App Banner,Owned,Grocery,2024-10-14,0,,0,,0,,0.0,0.0015
E1000271,C102616,Social Media Ad,Paid,Grocery,2024-04-14,0,,0,,0,,0.0,0.012
E1000272,C102943,Email,Owned,Grocery,2024-03-07,0,,0,,0,,0.0,0.002
E1000273,C100761,Push Notification,Owned,Dining,2024-09-27,0,,0,,0,,0.0,0.001
E1000274,C103718,Email,Owned,Grocery,2024-08-07,0,,0,,0,,0.0,0.002
E1000275,C102700,Email,Owned,Entertainment,2024-09-20,0,,0,,0,,0.0,0.002
E1000276,C102131,Social Media Ad,Paid,Dining,2024-04-11,0,,0,,0,,0.0,0.012
E1000277,C104814,In-App Banner,Owned,Electronics,2024-06-26,0,,0,,0,,0.0,0.0015
E1000278,C101953,Push Notification,Owned,Dining,2024-06-12,1,2024-06-13,1,2024-06-14,0,,0.0,0.001
E1000279,C100948,Social Media Ad,Paid,Health & Wellness,2025-07-08,0,,0,,0,,0.0,0.012
E1000280,C100301,Push Notification,Owned,Grocery,2025-02-27,0,,0,,0,,0.0,0.001
E1000281,C104024,In-App Banner,Owned,Travel,2024-11-29,0,,0,,0,,0.0,0.0015
